taxID	FSLB_count	GP143_count	GP157_count	GPR1_count	Galpha_count	Gbeta_count	Ggamma_count	Mth_count	Nematode_count	Olfactory_count	RBP1_count	STE2_count	STE3_count	TBP_count	Vomeronasal1_count	Vomeronasal2_count	cAMP_count	classA_count	classB1_count	classB2_count	classC_count	classF_count	classT_count
208069	0	1	1	0	15	5	10	0	0	16	2	0	0	3	0	0	0	235	15	16	16	9	6
208073	0	1	1	0	15	4	8	0	0	21	1	0	0	3	0	0	0	234	16	17	16	11	5
2082293	1	0	0	2	6	1	1	0	0	0	4	1	0	1	0	0	2	0	0	0	0	0	0
2082308	1	0	0	4	3	1	1	0	0	0	3	1	1	1	0	0	1	0	0	0	0	0	0
209136	0	0	0	1	5	1	1	0	0	0	3	1	1	1	0	0	1	0	0	0	0	0	0
2094558	0	0	0	0	1	2	5	0	0	0	5	0	0	3	0	0	2	0	0	0	0	0	0
209559	1	0	0	1	3	1	1	0	0	0	3	1	1	1	0	0	1	0	0	0	0	0	0
2100454	1	0	0	3	3	1	1	0	0	0	3	1	1	1	0	0	1	0	0	0	0	0	0
210409	0	0	0	0	7	2	2	9	0	0	3	0	0	3	0	0	0	100	3	7	7	1	0
210430	1	0	0	3	5	1	1	0	0	0	3	1	1	1	0	0	1	0	0	0	0	0	0
210632	0	1	1	0	28	8	23	0	0	125	3	0	0	4	4	40	1	603	27	44	40	14	2
211598	0	1	1	0	16	5	13	0	0	41	2	0	0	2	0	0	0	283	19	22	19	11	2
212602	1	0	0	2	3	1	1	0	0	0	3	1	1	1	0	0	1	0	0	0	0	0	0
2126181	0	0	0	1	20	1	2	0	0	0	8	0	9	1	0	0	0	0	0	0	0	0	0
2126942	0	0	0	0	14	1	2	0	0	0	3	0	7	1	0	0	0	1	0	0	0	0	0
212818	1	0	0	1	4	1	1	0	0	0	3	1	0	1	0	0	2	0	0	0	0	0	0
2138241	0	0	0	0	26	3	2	0	134	0	8	0	0	3	0	0	0	204	4	5	7	6	0
2138324	1	0	0	5	3	1	1	0	0	0	3	1	1	1	0	0	3	0	0	0	0	0	0
214684	0	0	0	1	3	1	2	0	0	0	3	0	2	1	0	0	0	0	0	0	0	0	0
214687	0	0	0	0	1	3	7	0	1	0	6	0	0	6	0	0	1	0	0	0	0	0	0
215250	0	0	0	0	3	1	1	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0
